Country,Cyber_Stability,AI_Governance,Legal_Coherence,Economic_Resilience,Social_Stability,D_Score,Data_Source,Proxy_Notes
Singapore,0.93,0.90,0.92,0.89,0.86,0.90,Composite(Global Indices),"High cyber readiness + strong governance integration"
United States,0.91,0.89,0.86,0.88,0.76,0.86,Composite(Global Indices),"Strong AI + cyber leadership, moderate social stability constraint"
Germany,0.89,0.85,0.91,0.84,0.81,0.86,Composite(Global Indices),"High legal coherence + stable institutional economy"
Japan,0.90,0.85,0.89,0.82,0.83,0.86,Composite(Global Indices),"Balanced high-performance governance system"
United Kingdom,0.88,0.87,0.89,0.83,0.78,0.85,Composite(Global Indices),"Strong governance + moderate social cohesion pressure"
South Korea,0.89,0.84,0.86,0.81,0.81,0.85,Composite(Global Indices),"Advanced digital governance + institutional stability"
European Union,0.89,0.86,0.91,0.83,0.79,0.85,Composite(Global Indices),"Strong legal + supranational institutional integration"
Canada,0.87,0.84,0.90,0.82,0.82,0.85,Composite(Global Indices),"Stable legal system + strong social structure"
Australia,0.86,0.83,0.89,0.81,0.81,0.84,Composite(Global Indices),"Balanced governance with high institutional trust"
France,0.87,0.84,0.88,0.82,0.79,0.84,Composite(Global Indices),"Strong state capacity + regulatory system"
China,0.87,0.81,0.71,0.84,0.73,0.80,Composite(Global Indices),"High infrastructure strength, lower legal coherence"
United Arab Emirates,0.88,0.85,0.78,0.86,0.77,0.82,Composite(Global Indices),"Rapid governance modernization + economic strength"
Saudi Arabia,0.84,0.80,0.75,0.85,0.76,0.80,Composite(Global Indices),"Economic strength with governance transition phase"
India,0.77,0.74,0.66,0.80,0.71,0.74,Composite(Global Indices),"Emerging digital economy, institutional consistency gap"
Indonesia,0.76,0.73,0.67,0.79,0.72,0.73,Composite(Global Indices),"Emerging stable growth with governance improvements"
Brazil,0.75,0.72,0.65,0.78,0.69,0.72,Composite(Global Indices),"Emerging economy with volatility risk"
South Africa,0.74,0.70,0.64,0.76,0.68,0.71,Composite(Global Indices),"Institutional instability + socio-economic pressure"
Russia,0.81,0.76,0.61,0.72,0.66,0.71,Composite(Global Indices),"Strong cyber capability, weak legal coherence"
Mexico,0.73,0.70,0.63,0.77,0.67,0.70,Composite(Global Indices),"Moderate instability across governance domains"
Turkey,0.74,0.72,0.62,0.75,0.66,0.70,Composite(Global Indices),"Policy volatility + institutional imbalance"
